卒業回,氏名,性別,状態,役職1,役職2,旧姓,フリガナ,備考/更新履歴,〒,住所1,住所2,住所3,電話番号
高校51回期,相河 奈美,女,一般,理事,常任理事,,ｱｲｶﾜ ﾅﾐ,2018.4郵便物返却,923-0931,石川県小松市,大文字町１３０番地,,0761-21-5112
高校51回期,青木 勝美,男,一般,,,野原,ｱｵｷ ｶﾂﾐ,,920-0001,石川県金沢市,尾山町,,076-221-1234
高校51回期,赤穂 雅彦,男,一般,,,,ｱｺｳ ﾏｻﾋｺ,2019.7氏名変更,923-0801,石川県小松市,園町,,0761-22-2345
高校50回期,明石 克彦,男,一般,副理事長,,,ｱｶｼ ｶﾂﾋｺ,,923-0933,石川県小松市,八幡,,0761-23-3456
高校50回期,吉田 博,男,不明,,,旧姓,ﾖｼﾀﾞ ﾋﾛｼ,電話番号不明,923-0935,石川県小松市,八日市,,
高校52回期,佐藤 花子,女,一般,,,吉田,ｻﾄｳ ﾊﾅｺ,,920-0961,石川県金沢市,香林坊,,076-260-1111
高校52回期,田中 太郎,男,一般,理事,,,ﾀﾅｶ ﾀﾛｳ,,921-8025,石川県金沢市,増泉,,076-242-2222
高校53回期,鈴木 一郎,男,一般,,,,ｽｽﾞｷ ｲﾁﾛｳ,,920-0853,石川県金沢市,本町,,076-263-3333
高校53回期,山田 美咲,女,一般,,,鈴木,ﾔﾏﾀﾞ ﾐｻｷ,2020.3住所変更,920-0962,石川県金沢市,広坂,,076-264-4444
高校54回期,伊藤 健太,男,一般,,,,ｲﾄｳ ｹﾝﾀ,,920-0981,石川県金沢市,片町,,076-265-5555
